DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
550.00	 97.77
551.00	 97.78
552.00	 97.66
553.00	 97.55
554.00	 97.64
555.00	 97.77
556.00	 97.78
557.00	 97.76
558.00	 97.85
559.00	 97.92
560.00	 97.83
561.00	 97.72
562.00	 97.72
563.00	 97.73
564.00	 97.62
565.00	 97.52
566.00	 97.56
567.00	 97.66
568.00	 97.68
569.00	 97.71
570.00	 97.83
571.00	 97.92
572.00	 97.84
573.00	 97.72
574.00	 97.73
575.00	 97.81
576.00	 97.82
577.00	 97.78
578.00	 97.76
579.00	 97.70
580.00	 97.56
581.00	 97.48
582.00	 97.56
583.00	 97.67
584.00	 97.67
585.00	 97.64
586.00	 97.66
587.00	 97.64
588.00	 97.53
589.00	 97.44
590.00	 97.51
591.00	 97.65
592.00	 97.70
593.00	 97.66
594.00	 97.63
595.00	 97.62
596.00	 97.58
597.00	 97.54
598.00	 97.53
599.00	 97.54
600.00	 97.51
601.00	 97.49
602.00	 97.52
603.00	 97.54
604.00	 97.50
605.00	 97.47
606.00	 97.52
607.00	 97.59
608.00	 97.59
609.00	 97.58
610.00	 97.61
611.00	 97.63
612.00	 97.58
613.00	 97.52
614.00	 97.54
615.00	 97.59
616.00	 97.63
617.00	 97.64
618.00	 97.66
619.00	 97.64
620.00	 97.55
621.00	 97.48
622.00	 97.50
623.00	 97.55
624.00	 97.54
625.00	 97.52
626.00	 97.54
627.00	 97.59
628.00	 97.61
629.00	 97.61
630.00	 97.63
631.00	 97.64
632.00	 97.60
633.00	 97.55
634.00	 97.56
635.00	 97.60
636.00	 97.60
637.00	 97.59
638.00	 97.59
639.00	 97.58
640.00	 97.55
641.00	 97.54
642.00	 97.57
643.00	 97.59
644.00	 97.58
645.00	 97.55
646.00	 97.57
647.00	 97.60
648.00	 97.60
649.00	 97.58
650.00	 97.59
651.00	 97.58
652.00	 97.55
653.00	 97.51
654.00	 97.51
655.00	 97.54
656.00	 97.54
657.00	 97.53
658.00	 97.54
659.00	 97.53
660.00	 97.49
661.00	 97.44
662.00	 97.44
663.00	 97.47
664.00	 97.48
665.00	 97.47
666.00	 97.44
667.00	 97.42
668.00	 97.41
669.00	 97.40
670.00	 97.41
671.00	 97.43
672.00	 97.41
673.00	 97.38
674.00	 97.38
675.00	 97.42
676.00	 97.43
677.00	 97.41
678.00	 97.39
679.00	 97.35
680.00	 97.29
681.00	 97.23
682.00	 97.22
683.00	 97.22
684.00	 97.20
685.00	 97.17
686.00	 97.14
687.00	 97.11
688.00	 97.05
689.00	 96.98
690.00	 96.94
691.00	 96.91
692.00	 96.88
693.00	 96.85
694.00	 96.84
695.00	 96.81
696.00	 96.75
697.00	 96.66
698.00	 96.60
699.00	 96.54
700.00	 96.45
701.00	 96.33
702.00	 96.21
703.00	 96.06
704.00	 95.87
705.00	 95.63
706.00	 95.40
707.00	 95.15
708.00	 94.84
709.00	 94.46
710.00	 93.99
711.00	 93.41
712.00	 92.64
713.00	 91.59
714.00	 90.23
715.00	 88.53
716.00	 86.50
717.00	 84.38
718.00	 82.70
719.00	 82.13
720.00	 83.06
721.00	 85.19
722.00	 87.70
723.00	 89.79
724.00	 91.09
725.00	 91.65
726.00	 91.59
727.00	 90.88
728.00	 89.57
729.00	 88.04
730.00	 87.06
731.00	 87.32
732.00	 88.89
733.00	 91.21
734.00	 93.44
735.00	 95.04
736.00	 95.96
737.00	 96.46
738.00	 96.76
739.00	 96.96
740.00	 97.10
741.00	 97.20
742.00	 97.29
743.00	 97.36
744.00	 97.39
745.00	 97.42
746.00	 97.46
747.00	 97.49
748.00	 97.51
749.00	 97.55
750.00	 97.59
751.00	 97.61
752.00	 97.61
753.00	 97.62
754.00	 97.64
755.00	 97.65
756.00	 97.64
757.00	 97.65
758.00	 97.68
759.00	 97.70
760.00	 97.70
761.00	 97.68
762.00	 97.67
763.00	 97.67
764.00	 97.67
765.00	 97.68
766.00	 97.70
767.00	 97.72
768.00	 97.72
769.00	 97.71
770.00	 97.70
771.00	 97.70
772.00	 97.69
773.00	 97.70
774.00	 97.73
775.00	 97.74
776.00	 97.72
777.00	 97.69
778.00	 97.67
779.00	 97.68
780.00	 97.68
781.00	 97.69
782.00	 97.70
783.00	 97.71
784.00	 97.70
785.00	 97.69
786.00	 97.68
787.00	 97.65
788.00	 97.61
789.00	 97.58
790.00	 97.58
791.00	 97.59
792.00	 97.57
793.00	 97.53
794.00	 97.50
795.00	 97.47
796.00	 97.44
797.00	 97.42
798.00	 97.41
799.00	 97.40
800.00	 97.39
801.00	 97.38
802.00	 97.40
803.00	 97.42
804.00	 97.43
805.00	 97.43
806.00	 97.45
807.00	 97.45
808.00	 97.45
809.00	 97.45
810.00	 97.48
811.00	 97.51
812.00	 97.52
813.00	 97.51
814.00	 97.51
815.00	 97.52
816.00	 97.53
817.00	 97.54
818.00	 97.57
819.00	 97.60
820.00	 97.61
821.00	 97.63
822.00	 97.65
823.00	 97.67
824.00	 97.67
825.00	 97.68
826.00	 97.72
827.00	 97.75
828.00	 97.78
829.00	 97.80
830.00	 97.83
831.00	 97.85
832.00	 97.85
833.00	 97.85
834.00	 97.85
835.00	 97.87
836.00	 97.88
837.00	 97.89
838.00	 97.91
839.00	 97.92
840.00	 97.91
841.00	 97.91
842.00	 97.92
843.00	 97.93
844.00	 97.93
845.00	 97.93
846.00	 97.95
847.00	 97.97
848.00	 97.97
849.00	 97.97
850.00	 97.97
851.00	 97.96
852.00	 97.94
853.00	 97.92
854.00	 97.91
855.00	 97.92
856.00	 97.93
857.00	 97.93
858.00	 97.94
859.00	 97.95
860.00	 97.95
861.00	 97.96
862.00	 97.96
863.00	 97.96
864.00	 97.95
865.00	 97.93
866.00	 97.92
867.00	 97.92
868.00	 97.92
869.00	 97.93
870.00	 97.94
871.00	 97.96
872.00	 97.96
873.00	 97.95
874.00	 97.96
875.00	 97.97
876.00	 97.97
877.00	 97.97
878.00	 97.98
879.00	 97.99
880.00	 97.99
881.00	 97.99
882.00	 97.98
883.00	 97.98
884.00	 97.97
885.00	 97.97
886.00	 97.97
887.00	 97.97
888.00	 97.97
889.00	 97.98
890.00	 97.99
891.00	 98.01
892.00	 98.01
893.00	 98.02
894.00	 98.02
895.00	 98.03
896.00	 98.02
897.00	 98.02
898.00	 98.02
899.00	 98.02
900.00	 98.02
901.00	 98.02
902.00	 98.03
903.00	 98.05
904.00	 98.05
905.00	 98.04
906.00	 98.03
907.00	 98.03
908.00	 98.01
909.00	 98.01
910.00	 98.03
911.00	 98.04
912.00	 98.05
913.00	 98.04
914.00	 98.04
915.00	 98.03
916.00	 98.03
917.00	 98.02
918.00	 98.02
919.00	 98.03
920.00	 98.02
921.00	 98.02
922.00	 98.02
923.00	 98.02
924.00	 98.02
925.00	 98.01
926.00	 98.01
927.00	 98.01
928.00	 98.01
929.00	 98.02
930.00	 98.02
931.00	 98.03
932.00	 98.01
933.00	 98.00
934.00	 98.00
935.00	 98.01
936.00	 98.01
937.00	 98.02
938.00	 98.03
939.00	 98.04
940.00	 98.04
941.00	 98.03
942.00	 98.04
943.00	 98.04
944.00	 98.04
945.00	 98.03
946.00	 98.03
947.00	 98.03
948.00	 98.02
949.00	 98.00
950.00	 97.99
951.00	 97.99
952.00	 97.98
953.00	 97.97
954.00	 97.97
955.00	 97.96
956.00	 97.95
957.00	 97.94
958.00	 97.94
959.00	 97.93
960.00	 97.92
961.00	 97.91
962.00	 97.91
963.00	 97.92
964.00	 97.92
965.00	 97.92
966.00	 97.92
967.00	 97.92
968.00	 97.92
969.00	 97.90
970.00	 97.91
971.00	 97.91
972.00	 97.92
973.00	 97.92
974.00	 97.93
975.00	 97.95
976.00	 97.96
977.00	 97.96
978.00	 97.96
979.00	 97.96
980.00	 97.95
981.00	 97.94
982.00	 97.93
983.00	 97.93
984.00	 97.93
985.00	 97.92
986.00	 97.92
987.00	 97.92
988.00	 97.90
989.00	 97.88
990.00	 97.86
991.00	 97.85
992.00	 97.83
993.00	 97.83
994.00	 97.83
995.00	 97.83
996.00	 97.82
997.00	 97.82
998.00	 97.81
999.00	 97.81
1000.00	 97.79
1001.00	 97.78
1002.00	 97.76
1003.00	 97.74
1004.00	 97.71
1005.00	 97.68
1006.00	 97.66
1007.00	 97.64
1008.00	 97.62
1009.00	 97.60
1010.00	 97.57
1011.00	 97.55
1012.00	 97.51
1013.00	 97.48
1014.00	 97.47
1015.00	 97.45
1016.00	 97.44
1017.00	 97.42
1018.00	 97.41
1019.00	 97.39
1020.00	 97.37
1021.00	 97.35
1022.00	 97.35
1023.00	 97.35
1024.00	 97.34
1025.00	 97.34
1026.00	 97.34
1027.00	 97.34
1028.00	 97.33
1029.00	 97.32
1030.00	 97.33
1031.00	 97.34
1032.00	 97.33
1033.00	 97.32
1034.00	 97.31
1035.00	 97.30
1036.00	 97.29
1037.00	 97.29
1038.00	 97.29
1039.00	 97.30
1040.00	 97.30
1041.00	 97.29
1042.00	 97.29
1043.00	 97.30
1044.00	 97.31
1045.00	 97.31
1046.00	 97.31
1047.00	 97.31
1048.00	 97.30
1049.00	 97.28
1050.00	 97.26
1051.00	 97.25
1052.00	 97.25
1053.00	 97.26
1054.00	 97.28
1055.00	 97.30
1056.00	 97.30
1057.00	 97.30
1058.00	 97.29
1059.00	 97.28
1060.00	 97.26
1061.00	 97.25
1062.00	 97.25
1063.00	 97.25
1064.00	 97.24
1065.00	 97.23
1066.00	 97.23
1067.00	 97.22
1068.00	 97.22
1069.00	 97.22
1070.00	 97.22
1071.00	 97.23
1072.00	 97.22
1073.00	 97.21
1074.00	 97.19
1075.00	 97.17
1076.00	 97.15
1077.00	 97.13
1078.00	 97.12
1079.00	 97.10
1080.00	 97.07
1081.00	 97.05
1082.00	 97.04
1083.00	 97.04
1084.00	 97.04
1085.00	 97.05
1086.00	 97.06
1087.00	 97.07
1088.00	 97.07
1089.00	 97.07
1090.00	 97.07
1091.00	 97.07
1092.00	 97.07
1093.00	 97.06
1094.00	 97.07
1095.00	 97.07
1096.00	 97.05
1097.00	 97.04
1098.00	 97.03
1099.00	 97.02
1100.00	 97.03
1101.00	 97.03
1102.00	 97.05
1103.00	 97.06
1104.00	 97.08
1105.00	 97.08
1106.00	 97.09
1107.00	 97.10
1108.00	 97.10
1109.00	 97.10
1110.00	 97.11
1111.00	 97.12
1112.00	 97.13
1113.00	 97.15
1114.00	 97.18
1115.00	 97.20
1116.00	 97.20
1117.00	 97.17
1118.00	 97.16
1119.00	 97.17
1120.00	 97.21
1121.00	 97.25
1122.00	 97.29
1123.00	 97.32
1124.00	 97.32
1125.00	 97.33
1126.00	 97.33
1127.00	 97.34
1128.00	 97.35
1129.00	 97.37
1130.00	 97.39
1131.00	 97.41
1132.00	 97.42
1133.00	 97.43
1134.00	 97.45
1135.00	 97.48
1136.00	 97.51
1137.00	 97.53
1138.00	 97.54
1139.00	 97.55
1140.00	 97.54
1141.00	 97.54
1142.00	 97.54
1143.00	 97.56
1144.00	 97.57
1145.00	 97.59
1146.00	 97.61
1147.00	 97.62
1148.00	 97.62
1149.00	 97.62
1150.00	 97.62
1151.00	 97.62
1152.00	 97.63
1153.00	 97.64
1154.00	 97.65
1155.00	 97.65
1156.00	 97.65
1157.00	 97.65
1158.00	 97.65
1159.00	 97.65
1160.00	 97.66
1161.00	 97.66
1162.00	 97.66
1163.00	 97.67
1164.00	 97.67
1165.00	 97.67
1166.00	 97.67
1167.00	 97.68
1168.00	 97.68
1169.00	 97.68
1170.00	 97.68
1171.00	 97.69
1172.00	 97.69
1173.00	 97.69
1174.00	 97.69
1175.00	 97.68
1176.00	 97.67
1177.00	 97.66
1178.00	 97.68
1179.00	 97.70
1180.00	 97.72
1181.00	 97.73
1182.00	 97.75
1183.00	 97.76
1184.00	 97.76
1185.00	 97.75
1186.00	 97.76
1187.00	 97.77
1188.00	 97.77
1189.00	 97.77
1190.00	 97.76
1191.00	 97.76
1192.00	 97.77
1193.00	 97.78
1194.00	 97.80
1195.00	 97.81
1196.00	 97.82
1197.00	 97.82
1198.00	 97.83
1199.00	 97.84
1200.00	 97.84
1201.00	 97.83
1202.00	 97.82
1203.00	 97.82
1204.00	 97.83
1205.00	 97.83
1206.00	 97.84
1207.00	 97.85
1208.00	 97.85
1209.00	 97.84
1210.00	 97.84
1211.00	 97.84
1212.00	 97.83
1213.00	 97.82
1214.00	 97.82
1215.00	 97.83
1216.00	 97.83
1217.00	 97.84
1218.00	 97.84
1219.00	 97.84
1220.00	 97.84
1221.00	 97.84
1222.00	 97.84
1223.00	 97.84
1224.00	 97.84
1225.00	 97.84
1226.00	 97.84
1227.00	 97.84
1228.00	 97.83
1229.00	 97.82
1230.00	 97.81
1231.00	 97.82
1232.00	 97.82
1233.00	 97.82
1234.00	 97.82
1235.00	 97.81
1236.00	 97.81
1237.00	 97.80
1238.00	 97.80
1239.00	 97.80
1240.00	 97.79
1241.00	 97.78
1242.00	 97.78
1243.00	 97.78
1244.00	 97.77
1245.00	 97.76
1246.00	 97.75
1247.00	 97.73
1248.00	 97.72
1249.00	 97.71
1250.00	 97.70
1251.00	 97.69
1252.00	 97.66
1253.00	 97.63
1254.00	 97.59
1255.00	 97.56
1256.00	 97.51
1257.00	 97.46
1258.00	 97.40
1259.00	 97.35
1260.00	 97.30
1261.00	 97.27
1262.00	 97.25
1263.00	 97.25
1264.00	 97.27
1265.00	 97.30
1266.00	 97.34
1267.00	 97.39
1268.00	 97.44
1269.00	 97.49
1270.00	 97.53
1271.00	 97.57
1272.00	 97.61
1273.00	 97.64
1274.00	 97.66
1275.00	 97.67
1276.00	 97.68
1277.00	 97.69
1278.00	 97.69
1279.00	 97.70
1280.00	 97.71
1281.00	 97.71
1282.00	 97.71
1283.00	 97.70
1284.00	 97.69
1285.00	 97.69
1286.00	 97.68
1287.00	 97.68
1288.00	 97.68
1289.00	 97.67
1290.00	 97.66
1291.00	 97.65
1292.00	 97.64
1293.00	 97.63
1294.00	 97.62
1295.00	 97.61
1296.00	 97.60
1297.00	 97.58
1298.00	 97.58
1299.00	 97.58
1300.00	 97.58
1301.00	 97.57
1302.00	 97.57
1303.00	 97.58
1304.00	 97.58
1305.00	 97.57
1306.00	 97.58
1307.00	 97.58
1308.00	 97.58
1309.00	 97.58
1310.00	 97.59
1311.00	 97.60
1312.00	 97.61
1313.00	 97.62
1314.00	 97.64
1315.00	 97.66
1316.00	 97.68
1317.00	 97.69
1318.00	 97.71
1319.00	 97.72
1320.00	 97.73
1321.00	 97.75
1322.00	 97.77
1323.00	 97.79
1324.00	 97.80
1325.00	 97.81
1326.00	 97.81
1327.00	 97.81
1328.00	 97.82
1329.00	 97.82
1330.00	 97.82
1331.00	 97.83
1332.00	 97.83
1333.00	 97.83
1334.00	 97.84
1335.00	 97.83
1336.00	 97.82
1337.00	 97.79
1338.00	 97.76
